title,image_url,sadness,neutral,contempt,disgust,anger,surprise,fear,happiness,score
Converge - The Dusk In Us ALBUM REVIEW,https://i.ytimg.com/vi/WLDhNDAOw8k/hqdefault.jpg,0,0.994,0,0,0.003,0.002,0,0,8
"21 Savage, Offset & Metro Boomin - Without Warning ALBUM REVIEW",https://i.ytimg.com/vi/sxISrm03SHk/hqdefault.jpg,0,0.009,0.001,0.002,0.038,0.872,0.003,0.076,7
Fever Ray - Plunge ALBUM REVIEW,https://i.ytimg.com/vi/h9r1kIjo2aA/hqdefault.jpg,0,0.944,0,0,0,0.055,0,0,5
Beck - Colors ALBUM REVIEW,https://i.ytimg.com/vi/pI4uPs5dLRs/hqdefault.jpg,0,0.002,0,0.004,0.566,0.416,0.008,0.004,4
King Krule - The OOZ ALBUM REVIEW,https://i.ytimg.com/vi/ft2cMWKc_u8/hqdefault.jpg,0,0.995,0,0,0,0.004,0,0.001,4
Uncommon Nasa - Written At Night ALBUM REVIEW,https://i.ytimg.com/vi/eir7AorIVXg/hqdefault.jpg,0,0.706,0,0,0,0,0,0.293,8
Daniel Caesar - Freudian ALBUM REVIEW,https://i.ytimg.com/vi/n8_qk3FrFjM/hqdefault.jpg,0.001,0.02,0.272,0.192,0.507,0.001,0,0.007,7
Ariel Pink - Dedicated to Bobby Jameson ALBUM REVIEW,https://i.ytimg.com/vi/Hlx4ONMtRFY/hqdefault.jpg,0,0.031,0.228,0.001,0,0,0,0.74,8
The National - Sleep Well Beast ALBUM REVIEW,https://i.ytimg.com/vi/odQcHCsW2YA/hqdefault.jpg,0,0.55,0,0,0.001,0.439,0,0.01,7
Alvvays - Antisocialites ALBUM REVIEW,https://i.ytimg.com/vi/W9ysTOF7S8Q/hqdefault.jpg,0,0,0,0,0,0.392,0.002,0.605,8
LCD Soundsystem - American Dream ALBUM REVIEW,https://i.ytimg.com/vi/0evHtpLFM9k/hqdefault.jpg,0,0.597,0,0,0.001,0.36,0,0.041,6
Lil Uzi Vert - Luv Is Rage 2 ALBUM REVIEW,https://i.ytimg.com/vi/ci62GfOm-t8/hqdefault.jpg,0,0,0,0,0,0,0,1,3
Dying Fetus - Wrong One to Fuck With ALBUM REVIEW,https://i.ytimg.com/vi/N65_VUOVT6o/hqdefault.jpg,0,0.001,0.001,0.434,0.564,0,0,0,8
Arcade Fire - Everything Now ALBUM REVIEW,https://i.ytimg.com/vi/CSLAZM54ZcQ/hqdefault.jpg,0.199,0.226,0.007,0.008,0,0,0,0.559,4
"Tyler, the Creator - Flower Boy ALBUM REVIEW",https://i.ytimg.com/vi/mlLqB2lxii4/hqdefault.jpg,0.001,0.366,0,0,0,0.626,0.007,0,8
